NAME,STREET,CITY,ZIPCODE,RENT_COST,BEDROOMS,BATHROOMS,APT_NUM,SQFT
2 Sargent St (3),2 Sargent St,Westbrook,04092,2300,3.0,1.0,1,0
32 Emerson Mill Rd APT 6,32 Emerson Mill Rd APT 6,Hampden,04444,1825,2.0,1.0,0,1680
503 Cumberland Ave APT 6,503 Cumberland Ave APT 6,Portland,04101,1700,1.0,1.0,0,419
237 Woodford St #12-2,237 Woodford St #12-2,Portland,04103,1750,1.0,1.0,0,650
7 Jeremy Dr #ID1255689P,7 Jeremy Dr #ID1255689P,Standish,04084,11893,3.0,2.0,0,0
10 Crescent Shore Dr #ID1255628P,10 Crescent Shore Dr #ID1255628P,Standish,04084,8133,2.0,1.0,0,0
613 Peabody Pond Rd #ID1255629P,613 Peabody Pond Rd #ID1255629P,Sebago,04029,11452,2.0,1.0,0,0
73 Sebago Rd #ID1255714P,73 Sebago Rd #ID1255714P,Sebago,04029,18152,4.0,1.0,0,0
9 Cross St #ID1255687P,9 Cross St #ID1255687P,Sebago,04029,15554,3.0,1.0,0,0
27 Smooth Ledge Rd #ID1255708P,27 Smooth Ledge Rd #ID1255708P,Standish,04084,12793,1.0,1.0,0,0
269 1/2 French St,269 1/2 French St,Bangor,04401,1600,3.0,2.0,0,0
19 Pond View Rd,19 Pond View Rd,Winthrop,04364,1640,4.0,2.0,0,1656
42 Hampshire St,42 Hampshire St,Portland,04101,1995,2.0,1.0,0,0
254 East Ave FLOOR 12,254 East Ave FLOOR 12,Lewiston,04240,1275,2.0,1.0,0,0
8 Elizabeth Ave APT 2,8 Elizabeth Ave APT 2,Bangor,04401,1800,2.0,1.0,0,0
287 Greely Rd,287 Greely Rd,Cumberland,04021,3395,4.0,2.0,0,1342
71 Green St (1),71 Green St,Biddeford,04005,1900,1.0,1.0,3,550
575 Main St APT 2,575 Main St APT 2,Bangor,04401,1325,2.0,1.0,0,0
115 Clark St #1,115 Clark St #1,Portland,04102,2825,2.0,1.0,0,0
16 Kendall St,16 Kendall St,Augusta,04330,1650,3.0,1.0,0,1100
219 Carrabassett Rd,219 Carrabassett Rd,New Portland,04961,2600,4.0,3.0,0,2100
216 E Grand Ave,216 E Grand Ave,Old Orchard Beach,04064,2200,3.0,1.0,0,1056
