NAME,ADDR,RENT_COST,BEDROOMS,BATHROOMS,APT_NUM,SQFT
62 Oconnor Rd #ID1255640P,"['62 Oconnor Rd #ID1255640P', 'Casco', '04015']",6360,2.0,1.0,0,0

100 Woods Grove Ln #ID1255650P,"['100 Woods Grove Ln #ID1255650P', 'Winthrop', '04364']",13246,3.0,1.0,0,0

36 Oak Rd #ID1255619P,"['36 Oak Rd #ID1255619P', 'Sebago', '04029']",25296,7.0,3.0,0,0

12 Eagle Dr #ID1255625P,"['12 Eagle Dr #ID1255625P', 'Windham', '04062']",7111,2.0,1.0,0,0

145 Beach Rd #ID1255649P,"['145 Beach Rd #ID1255649P', 'Naples', '04055']",19668,4.0,2.0,0,0

63 Winter St #104,"['63 Winter St #104', 'Saco', '04072']",1600,2.0,1.0,0,750

2 Clover Leaf St,"['2 Clover Leaf St', 'Winthrop', '04364']",1150,2.0,1.0,0,728

Emery Court (1),"['7 Sb Emery Ct', 'Sanford', '04073']",1600,2.0,1.0,SB-102,0

44 New Rd,"['44 New Rd', 'Arundel', '04046']",2500,3.0,1.0,0,0

337 Commercial St #1,"['337 Commercial St #1', 'Rockport', '04856']",2600,4.0,2.0,0,2650

48 Leland St #2,"['48 Leland St #2', 'Portland', '04103']",2200,3.0,1.0,0,1200

46 York Woods Rd,"['46 York Woods Rd', 'South Berwick', '03908']",2850,3.0,2.0,0,1344

3 Philbrick Ln APT 3,"['3 Philbrick Ln APT 3', 'Kittery', '03904']",2300,2.0,1.0,0,0

22 16th St,"['22 16th St', 'Old Orchard Beach', '04064']",1950,3.0,1.0,0,1080

6 Church Street (1),"['6 Church St', 'Sanford', '04073']",1800,2.0,1.0,0,1200

310 Presumpscot St,"['310 Presumpscot St', 'Portland', '04103']",2975,3.0,1.0,0,1167

1015 May St,"['1015 May St', 'Veazie', '04401']",1760,2.0,1.0,0,1019

29 Pleasant Street (1),"['29 Pleasant St', 'Saco', '04072']",2150,2.0,1.0,102,850

29 Pleasant Street (2),"['29 Pleasant St', 'Saco', '04072']",2750,3.0,2.0,201,1100

29 Pleasant Street (3),"['29 Pleasant St', 'Saco', '04072']",2900,3.0,2.0,101,1200

6 Blueberry Ln #2,"['6 Blueberry Ln #2', 'Kennebunkport', '04046']",2600,2.0,1.0,0,1240

